BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Keller Williams NYC - New York Living Solutions","Co-op for sale",560000,1,700,"200 E 36th St Apt 17G","New York, NY 10016","200 E 36th St Apt 17G, New York, NY 10016","New York","New York County","New York",Manhattan,200,"200 E 36th St #17g, New York, NY 10016, USA",40.7467649,-73.976998
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",26995000,10,8360,"995 Fifth Ave Unit 16","New York, NY 10028","995 Fifth Ave Unit 16, New York, NY 10028","New York","New York County","New York",Manhattan,995,"995 5th Ave Fl 16, New York, NY 10028, USA",40.7780041,-73.9625466
"Brokered by Myc & Associates Inc","Multi-family home for sale",5827000,2.5,55300,"9944 62nd Ave","Queens, NY 11374","9944 62nd Ave, Queens, NY 11374","United States","New York","Queens County",Queens,"62nd Avenue","99-44 62nd Ave, Flushing, NY 11374, USA",40.7352736,-73.8566546
"Brokered by Myc & Associates Inc","Multi-family home for sale",5827000,2.5,55300,"9944 62nd Ave","Queens, NY 11374","9944 62nd Ave, Queens, NY 11374","United States","New York","Queens County",Queens,"62nd Avenue","99-44 62nd Ave, Flushing, NY 11374, USA",40.7352736,-73.8566546
"Brokered by Redfin Real Estate","Co-op for sale",569000,2,2198,"61-15 97th St Unit 14F","Rego Park, NY 11374","61-15 97th St Unit 14F, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",61-15,"61-15 97th St #14f, Rego Park, NY 11374, USA",40.7337965,-73.8620837
"Brokered by Brown Harris Stevens - 1926 Broadway","Co-op for sale",7195000,4,2198,"812 Fifth Ave Unit 10A","Manhattan, NY 10065","812 Fifth Ave Unit 10A, Manhattan, NY 10065","New York","New York County","New York",Manhattan,812,"812 5th Ave #10a, New York, NY 10065, USA",40.7662872,-73.9711965
"Brokered by Brownstone Real Estate LLC - Carroll Gardens","Townhouse for sale",3200000,4,3200,"556 Henry St","Brooklyn, NY 11231","556 Henry St, Brooklyn, NY 11231","United States","New York","Kings County",Brooklyn,"Henry Street","556 Henry St, Brooklyn, NY 11231, USA",40.6820276,-74.000601
"Brokered by RE/MAX Team",Pending,758888,2,2165,"40-26 Benham St","Elmhurst, NY 11373","40-26 Benham St, Elmhurst, NY 11373","United States","New York","Queens County",Queens,"Benham Street","40-26 Benham St, Elmhurst, NY 11373, USA",40.7479833,-73.8746835
"Brokered by Connie Profaci Realty","Condo for sale",198000,1,1000,"1100 Clove Rd Apt Gl","Staten Island, NY 10301","1100 Clove Rd Apt Gl, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Clove Road","1100 Clove Rd, Staten Island, NY 10301, USA",40.6189484,-74.1071576
"Brokered by eXp Realty BKNY","House for sale",485000,1,560,"2800 Brown St","Brooklyn, NY 11235","2800 Brown St, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Brown Street","2800 Brown St, Brooklyn, NY 11235, USA",40.585215,-73.937245
"Brokered by Queens Quality Management","Co-op for sale",359000,1,2172,"16-29 212 St Unit 105","Bayside, NY 11360","16-29 212 St Unit 105, Bayside, NY 11360","New York","Queens County",Queens,Bayside,1629,"1629 212th St # 105, Bayside, NY 11360, USA",40.7838199,-73.78072
"Brokered by Keller Williams Rlty Landmark","Co-op for sale",575000,1,2205,"46-01 39 Ave Unit 514","Sunnyside, NY 11104","46-01 39 Ave Unit 514, Sunnyside, NY 11104","New York","Queens County",Queens,Sunnyside,4601,"4601 39th Ave Apt 514, Sunnyside, NY 11104, USA",40.7493599,-73.91745
"Brokered by RE/MAX Team","Multi-family home for sale",1288000,5,2500,"48-36 65th Pl","Woodside, NY 11377","48-36 65th Pl, Woodside, NY 11377","United States","New York","Queens County",Queens,"65th Place","48-36 65th Pl, Flushing, NY 11377, USA",40.7374104,-73.9002424
"Brokered by DiTommaso Real Estate","House for sale",589000,2,1808,"18 Harbour Ct","Staten Island, NY 10308","18 Harbour Ct, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Harbour Court","18 Harbour Ct, Staten Island, NY 10308, USA",40.5383835,-74.1433088
NoBroker,"Co-op for sale",239000,1,2183,"111-31 66th Ave Unit 2C","Forest Hills, NY 11375","111-31 66th Ave Unit 2C, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills","111- 31","111- 31 66th Ave #2c, Forest Hills, NY 11375, USA",40.7318103,-73.8443526
"Brokered by COMPASS","Townhouse for sale",2050000,4,5200,"213 E 120th St","Manhattan, NY 10035","213 E 120th St, Manhattan, NY 10035","United States","New York","New York County","New York","East 120th Street","213 E 120th St, New York, NY 10035, USA",40.8003622,-73.9373581
"Brokered by Steven Corcoran Real Estate LLC - Steven Corcoran Real Estate TudorCity.com","Co-op for sale",259000,1,250,"321 E 43rd St Apt 211","New York, NY 10017","321 E 43rd St Apt 211, New York, NY 10017","New York","New York County","New York",Manhattan,321,"321 E 43rd St Apt 211, New York, NY 10017, USA",40.750236,-73.9707571
"Brokered by COMPASS","Co-op for sale",900000,2,2209,"2166 Broadway Apt 11F","Manhattan, NY 10024","2166 Broadway Apt 11F, Manhattan, NY 10024","New York","New York County","New York",Manhattan,2166,"2166 Broadway Apt 11b, New York, NY 10024, USA",40.7819299,-73.9807097
"Brokered by RE MAX Edge","Co-op for sale",219000,1,550,"1119 Ocean Pkwy Unit 1O","Brooklyn, NY 11230","1119 Ocean Pkwy Unit 1O, Brooklyn, NY 11230","New York","Kings County",Brooklyn,Midwood,1119,"1119 Ocean Pkwy #1b, Brooklyn, NY 11230, USA",40.621071,-73.969227
"Brokered by E Realty International Corp","Multi-family home for sale",2290000,5,2206,"13-63 209th St","Bayside, NY 11360","13-63 209th St, Bayside, NY 11360","United States","New York","Queens County",Queens,"209th Street","13-63 209th St, Flushing, NY 11360, USA",40.7869532,-73.7833849
"Brokered by COMPASS","Condo for sale",699000,2,1519,"2322 Adam Clayton Powell Jr Blvd Apt 1C","Manhattan, NY 10030","2322 Adam Clayton Powell Jr Blvd Apt 1C, Manhattan, NY 10030","New York","New York County","New York",Manhattan,2322,"2322 Adam Clayton Powell Jr Blvd #1c, New York, NY 10030, USA",40.8163359,-73.9434447
"Brokered by Unimax Realty Co Inc","House for sale",998000,2,2173,"48-23 193rd St","Fresh Meadows, NY 11365","48-23 193rd St, Fresh Meadows, NY 11365","United States","New York","Queens County",Queens,"193rd Street","80-48 193rd St, Jamaica, NY 11423, USA",40.7288044,-73.7772174
"Brokered by New York Realty Minimax","Multi-family home for sale",2198888,6,2207,"558 Seneca Ave","Ridgewood, NY 11385","558 Seneca Ave, Ridgewood, NY 11385","United States","New York","Queens County",Queens,"Seneca Avenue","558 Seneca Ave, Ridgewood, NY 11385, USA",40.7047192,-73.9112269
"Brokered by Nexthome All Island","Co-op for sale",425000,2,1300,"61-20 Grand Central Pkwy Unit C505","Forest Hills, NY 11375","61-20 Grand Central Pkwy Unit C505, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",61-20,"61-20 Grand Central Pkwy #505, Forest Hills, NY 11375, USA",40.7379227,-73.8470718
"Brokered by Living NY - Main Office","Condo for sale",2750000,3,2782,"160 Imlay St Unit 6D2","Brooklyn, NY 11231","160 Imlay St Unit 6D2, Brooklyn, NY 11231","United States","New York","Kings County",Brooklyn,"Imlay Street","160 Imlay St, Brooklyn, NY 11231, USA",40.6811053,-74.0098135
"Brokered by Coldwell Banker Reliable","Co-op for sale",279999,1,790,"3235 Emmons Ave Apt 412","Brooklyn, NY 11235","3235 Emmons Ave Apt 412, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",3235,"3235 Emmons Ave Apt 412, Brooklyn, NY 11235, USA",40.5844399,-73.9316116
"Brokered by Real Broker NY LLC","House for sale",715000,2,2166,"85-10 79th St","Woodhaven, NY 11421","85-10 79th St, Woodhaven, NY 11421","United States","New York","Queens County",Queens,"79th Street","85-10 79th St, Jamaica, NY 11421, USA",40.6951138,-73.8648093
"Brokered by Ilite Realty Inc","Condo for sale",980000,3,1574,"1740 W 4th St Apt 4C","Brooklyn, NY 11223","1740 W 4th St Apt 4C, Brooklyn, NY 11223","New York","Kings County",Brooklyn,Gravesend,1740,"1740 W 4th St #4c, Brooklyn, NY 11223, USA",40.6050673,-73.9776246
"Brokered by La Rosa Realty New York Llc","Multi-family home for sale",949000,3,2206,"198-06 100th Ave","Hollis, NY 11423","198-06 100th Ave, Hollis, NY 11423","United States","New York","Queens County",Queens,"100th Avenue","198-06 100th Ave, Jamaica, NY 11423, USA",40.7099626,-73.7608766
"Brokered by Sotheby's International Realty - Downtown Manhattan","Co-op for sale",1600000,2,2350,"26 Beaver St Apt 4","New York, NY 10004","26 Beaver St Apt 4, New York, NY 10004","New York","New York County","New York",Manhattan,26,"26 Beaver St Apt 4, New York, NY 10004, USA",40.7048255,-74.0118183
"Brokered by Douglas Elliman - 140 Franklin","Co-op for sale",640000,1,2203,"85 First Ave Unit 7B","New York, NY 10003","85 First Ave Unit 7B, New York, NY 10003",10003,"United States","New York","New York County",Manhattan,"1st Ave., New York, NY 10003, USA",40.7301239,-73.9834424
"Brokered by 5 Boro Realty Corp","Multi-family home for sale",1299999,5,2186,"2042 Ralph Ave Unit 4","Brooklyn, NY 11234","2042 Ralph Ave Unit 4, Brooklyn, NY 11234","New York","Kings County",Brooklyn,Flatlands,2042,"2042 Ralph Ave #4, Brooklyn, NY 11234, USA",40.627685,-73.918487
"Brokered by Keller Williams Rlty Landmark",Pending,1188000,2.5,2162,"85-34 Chevy Chase St","Jamaica, NY 11432","85-34 Chevy Chase St, Jamaica, NY 11432","United States","New York","Queens County",Queens,"Chevy Chase Street","85-34 Chevy Chase St, Jamaica, NY 11432, USA",40.7199051,-73.7781913
"Brokered by Keller Williams Rlty Landmark","Multi-family home for sale",1350000,4,2800,"94-35 Corona Ave","Elmhurst, NY 11373","94-35 Corona Ave, Elmhurst, NY 11373","United States","New York","Queens County",Queens,"Corona Avenue","94-35 Corona Ave., Elmhurst, NY 11373, USA",40.7424208,-73.8687143
"Brokered by Julia Shildkret Real Estate","Co-op for sale",309000,1,850,"66-36 Yellowstone Blvd Unit 14A","Forest Hills, NY 11375","66-36 Yellowstone Blvd Unit 14A, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",6636,"6636 Yellowstone Blvd Apt 14e, Forest Hills, NY 11375, USA",40.7291499,-73.84944
"Brokered by Chase Global Realty Corp","House for sale",914999,2,2162,"121-26 7th Ave","College Point, NY 11356","121-26 7th Ave, College Point, NY 11356","United States","New York","Queens County",Queens,"7th Avenue","121-26 7th Ave, Flushing, NY 11356, USA",40.790645,-73.846559
"Brokered by Douglas Elliman - Rental Center","Condo for sale",600000,1,2209,"500 W 43rd St Apt 23A","New York, NY 10036","500 W 43rd St Apt 23A, New York, NY 10036","New York","New York County","New York",Manhattan,500,"500 W 43rd St #23a, New York, NY 10036, USA",40.7602412,-73.9954328
"Brokered by RE MAX Real Estate Professionals","House for sale",1750000,3,3225,"7316 Ridge Blvd","Brooklyn, NY 11209","7316 Ridge Blvd, Brooklyn, NY 11209","United States","New York","Kings County",Brooklyn,"Ridge Boulevard","7316 Ridge Blvd, Brooklyn, NY 11209, USA",40.633166,-74.0303565
"Brokered by Ilite Realty Inc","Condo for sale",950000,2,1401,"1740 W 4th St Apt 5F","Brooklyn, NY 11223","1740 W 4th St Apt 5F, Brooklyn, NY 11223","New York","Kings County",Brooklyn,Gravesend,1740,"1740 W 4th St #5f, Brooklyn, NY 11223, USA",40.6050673,-73.9776246
"Brokered by CENTURY 21 SAHARA REALTY","Multi-family home for sale",850000,3,2205,"213 Milford St","Brooklyn, NY 11208","213 Milford St, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Milford Street","213 Milford St, Brooklyn, NY 11208, USA",40.6742588,-73.8767881
"Brokered by Sotheby's International Realty - Downtown Manhattan","Condo for sale",5000000,2,2522,"139 Spring St Apt 3B","New York, NY 10012","139 Spring St Apt 3B, New York, NY 10012","New York","New York County","New York",Manhattan,139,"139 Spring St #3b, New York, NY 10012, USA",40.7242452,-74.0008671
"Brokered by Today Realty Corp.","House for sale",1050000,2,1870,"835 Dean Ave","Bronx, NY 10465","835 Dean Ave, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Dean Avenue","835 Dean Ave, Bronx, NY 10465, USA",40.8325495,-73.8167031
"Brokered by Akcess24homes Inc","House for sale",750000,2,2160,"116-59 120th St","South Ozone Park, NY 11420","116-59 120th St, South Ozone Park, NY 11420","United States","New York","Queens County",Queens,"120th Street","11659 120th St, Jamaica, NY 11420, USA",40.6743844,-73.8184378
"Brokered by Brown Harris Stevens","Condo for sale",9995000,4,2926,"368 Third Ave Ph B","Manhattan, NY 10016","368 Third Ave Ph B, Manhattan, NY 10016","New York","New York County","New York",Manhattan,368,"368 3rd Ave Ph B, New York, NY 10016, USA",40.7412931,-73.981837
"Brokered by Ben Bay Realty Company of Staten Island LLC","House for sale",1328888,2,1440,"1534 W 9th St","Brooklyn, NY 11204","1534 W 9th St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"West 9th Street","1534 W 9th St, Brooklyn, NY 11204, USA",40.6094603,-73.9831636
"Brokered by Red Door Realty Group","Townhouse for sale",478888,2,1159,"119 Richmond Hill Rd","Staten Island, NY 10314","119 Richmond Hill Rd, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Richmond Hill Road","119 Richmond Hill Rd, Staten Island, NY 10314, USA",40.5872305,-74.1641299
"Brokered by Modlin Group LLC","Condo for sale",1350000,1,850,"50 E 72nd St Unit 3D","New York, NY 10021","50 E 72nd St Unit 3D, New York, NY 10021","New York","New York County","New York",Manhattan,50,"50 E 72nd St #3d, New York, NY 10021, USA",40.7711516,-73.9646688
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",2250000,2,2200,"288 W 12th St # 3FR","New York, NY 10014","288 W 12th St # 3FR, New York, NY 10014","New York","New York County","New York",Manhattan,288,"288 W 12th St #3f, New York, NY 10014, USA",40.7373809,-74.0040989
"Brokered by Utopia Real Estate","Co-op for sale",239900,1,2174,"163-02 17 Ave Unit 1","Whitestone, NY 11357","163-02 17 Ave Unit 1, Whitestone, NY 11357","United States","New York","Queens County",Queens,"17th Avenue","163- 2 17th Ave, Whitestone, NY 11357, USA",40.7828417,-73.8000905
"Brokered by COMPASS","For sale",3399000,4,5000,"168 Lefferts Pl","Brooklyn, NY 11238","168 Lefferts Pl, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Lefferts Place","168 Lefferts Pl, Brooklyn, NY 11238, USA",40.6804045,-73.9573819
"Brokered by BHHS New York Properties","Condo for sale",2750000,2,1892,"205 E 16th St Apt 4A","New York, NY 10003","205 E 16th St Apt 4A, New York, NY 10003","New York","New York County","New York",Manhattan,205,"205 E 16th St #4a, New York, NY 10003, USA",40.7345957,-73.9855511
"Brokered by Corcoran East Side","Condo for sale",2095000,2,1600,"401 E 60th St Apt 17A","New York, NY 10022","401 E 60th St Apt 17A, New York, NY 10022","New York","New York County","New York",Manhattan,401,"401 E 60th St #17a, New York, NY 10022, USA",40.7603031,-73.9610497
"Brokered by Staten Island Premiere Properties","Multi-family home for sale",1399999,4,2776,"196 Bennett Ave","Staten Island, NY 10312","196 Bennett Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Bennett Avenue","196 Bennett Ave, Staten Island, NY 10312, USA",40.5365656,-74.1839422
"Brokered by Chase Global Realty Corp","House for sale",2300000,2,2800,"712 126th St","College Point, NY 11356","712 126th St, College Point, NY 11356","United States","New York","Queens County",Queens,"126th Street","712 126th St, College Point, NY 11356, USA",40.7903373,-73.8420291
"Brokered by World Prop Intl Sea To Sky","Co-op for sale",399990,1,1000,"71-36 110 St Unit 3L","Forest Hills, NY 11375","71-36 110 St Unit 3L, Forest Hills, NY 11375","New York","Queens County",Queens,Flushing,71-36,"71-36 110th St #3a, Flushing, NY 11375, USA",40.7213566,-73.8414009
"Brokered by RE MAX Edge","Multi-family home for sale",850000,3,2646,"3029 Brighton 5th St","Brooklyn, NY 11235","3029 Brighton 5th St, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Brighton 5th Street","3029 Brighton 5th St, Brooklyn, NY 11235, USA",40.5786954,-73.9626508
"Brokered by Realty Executives Today","Co-op for sale",215000,1,625,"6333 98th Pl Apt 3L","Rego Park, NY 11374","6333 98th Pl Apt 3L, Rego Park, NY 11374","Queens County",Queens,"Rego Park","98th Place","Parking lot","Parking lot, 6333 98th Pl #3c, Rego Park, NY 11374, USA",40.7318415,-73.8574816
"Brokered by R New York","Condo for sale",16995000,4,3310,"23 E 22nd St Unit 55B","New York, NY 10010","23 E 22nd St Unit 55B, New York, NY 10010","New York County","New York",Manhattan,"East 22nd Street","One Madison","One Madison, 23 E 22nd St #55A, New York, NY 10010, USA",40.7405179,-73.9881093
"Brokered by Keller Williams NYC","Co-op for sale",1195000,2,2161,"250 W 103rd St Apt 2B","New York, NY 10025","250 W 103rd St Apt 2B, New York, NY 10025","New York","New York County","New York",Manhattan,250,"250 W 103rd St #2b, New York, NY 10025, USA",40.7992102,-73.9695499
"Brokered by Coldwell Banker Advantage",Contingent,299998,1,1200,"412 Maryland Ave Apt 3A","Staten Island, NY 10305","412 Maryland Ave Apt 3A, Staten Island, NY 10305","New York","Richmond County","Staten Island",Rosebank,412,"412 Maryland Ave #3a, Staten Island, NY 10305, USA",40.608288,-74.07426
"Brokered by eXp Realty BKNY","Condo for sale",690000,2,942,"1569 W 7th St Apt 3A","Brooklyn, NY 11204","1569 W 7th St Apt 3A, Brooklyn, NY 11204","New York","Kings County",Brooklyn,Bensonhurst,1569,"1569 W 7th St #3a, Brooklyn, NY 11204, USA",40.6088021,-73.9805695
"Brokered by EXP Realty",Pending,859000,2,2207,"110-38 64 Ave Units 36B & 35","Forest Hills, NY 11375","110-38 64 Ave Units 36B & 35, Forest Hills, NY 11375","United States","New York","Queens County",Queens,"64th Avenue","110-38 64th Ave, Forest Hills, NY 11375, USA",40.7339078,-73.845842
"Brokered by Suydam Agency Inc","Multi-family home for sale",928888,2,1480,"12-12 120th St","College Point, NY 11356","12-12 120th St, College Point, NY 11356","United States","New York","Queens County",Queens,"120th Street","12-12 120th St, Flushing, NY 11356, USA",40.787297,-73.848086
"Brokered by Canaan Realty International","Condo for sale",780000,2,955,"132-59 41st Rd Unit 6C","Flushing, NY 11355","132-59 41st Rd Unit 6C, Flushing, NY 11355","New York","Queens County",Queens,Flushing,132-59,"132-59 41st Rd #6c, Flushing, NY 11355, USA",40.7565584,-73.8317042
"Brokered by Douglas Elliman - 1995 Broadway","Co-op for sale",1400000,2,2161,"201 W 70th St Apt 8C","New York, NY 10023","201 W 70th St Apt 8C, New York, NY 10023","New York","New York County","New York",Manhattan,201,"201 W 70th St #8c, New York, NY 10023, USA",40.7776749,-73.9829506
"Brokered by Corcoran SoHo","Co-op for sale",799000,1,2192,"430 W 34th St Apt 12H","New York, NY 10001","430 W 34th St Apt 12H, New York, NY 10001","New York","New York County","New York",Manhattan,430,"430 W 34th St. #12h, New York, NY 10001, USA",40.7536573,-73.9975607
"Brokered by Corcoran East Side","Condo for sale",14950000,4,3228,"39 W 23rd St","New York, NY 10010","39 W 23rd St, New York, NY 10010","United States","New York","New York County","New York","West 23rd Street","39 W 23rd St, New York, NY 10010, USA",40.7423282,-73.9911409
"Brokered by COMPASS",Pending,599000,3,2195,"457 W 57th St Unit 809","Manhattan, NY 10019","457 W 57th St Unit 809, Manhattan, NY 10019","New York","New York County","New York",Manhattan,457,"457 W 57th St #809, New York, NY 10019, USA",40.768983,-73.987526
"Brokered by COMPASS","Townhouse for sale",3995000,4,3412,"98 Degraw St","Brooklyn, NY 11231","98 Degraw St, Brooklyn, NY 11231","United States","New York","Kings County",Brooklyn,"Degraw Street","98 Degraw St, Brooklyn, NY 11231, USA",40.6857092,-74.003264
"Brokered by Remax Edge - RE/MAX EDGE","House for sale",2235000,4,2750,"194 Falmouth St","Brooklyn, NY 11235","194 Falmouth St, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Falmouth Street","194 Falmouth St, Brooklyn, NY 11235, USA",40.577846,-73.946577
"Brokered by BESMATCH REAL ESTATE","House for sale",620000,2,1400,"1724 Hutchinson River Pkwy","Bronx, NY 10461","1724 Hutchinson River Pkwy, Bronx, NY 10461","United States","New York","Bronx County","The Bronx","Hutchinson River Parkway","1724 Hutchinson Riv Pkwy, Bronx, NY 10461, USA",40.8464353,-73.8358298
"Brokered by Morris Park Realty Group","Co-op for sale",339000,1,822,"59A Edgewater Park Unit A","Bronx, NY 10465","59A Edgewater Park Unit A, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Edgewater Park","59 Edgewater Park, Bronx, NY 10465, USA",40.8224967,-73.8110903
"Brokered by Realty Executives Today","House for sale",938000,2,1836,"19-26 81st St","East Elmhurst, NY 11370","19-26 81st St, East Elmhurst, NY 11370","United States","New York","Queens County",Queens,"81st Street","19-26 81st St, Flushing, NY 11370, USA",40.772306,-73.8896045
"Brokered by 5 Boro Realty Corp","House for sale",919000,3,5400,"2911 Avenue D","Brooklyn, NY 11226","2911 Avenue D, Brooklyn, NY 11226","United States","New York","Kings County",Brooklyn,"Avenue D","2911 Avenue D, Brooklyn, NY 11226, USA",40.6410944,-73.9490931
"Brokered by Ernest Chi Real Estate LLC","Co-op for sale",425000,2,1150,"4705 Henry Hudson Pkwy W Apt 7J","Bronx, NY 10471","4705 Henry Hudson Pkwy W Apt 7J, Bronx, NY 10471","New York","Bronx County","The Bronx","Hudson Hill",4705,"4705 Henry Hudson Pkwy W #7j, Bronx, NY 10471, USA",40.8952914,-73.9089308
"Brokered by COMPASS","Townhouse for sale",19995000,2.5,8300,"109 Waverly Pl","Manhattan, NY 10011","109 Waverly Pl, Manhattan, NY 10011","United States","New York","New York County","New York","Waverly Place","109 Waverly Pl, New York, NY 10011, USA",40.7326368,-73.998918
"Brokered by Douglas Elliman - 936 Broadway","Co-op for sale",799000,2,1000,"325 E 41st St Apt 509","New York, NY 10017","325 E 41st St Apt 509, New York, NY 10017","New York","New York County","New York",Manhattan,325,"325 E 41st St Apt 509, New York, NY 10017, USA",40.7490288,-73.9719957
"Brokered by Corcoran Park Avenue South","Co-op for sale",475000,1,750,"100 Remsen St Apt 8K","Brooklyn, NY 11201","100 Remsen St Apt 8K, Brooklyn, NY 11201","New York","Kings County",Brooklyn,"Brooklyn Heights",100,"100 Remsen St #8c, Brooklyn, NY 11201, USA",40.6939582,-73.9943695
"Brokered by Keller Williams NYC","Townhouse for sale",3800000,4,3340,"464 5th St","Brooklyn, NY 11215","464 5th St, Brooklyn, NY 11215","United States","New York","Kings County",Brooklyn,"5th Street","464 5th St, Brooklyn, NY 11215, USA",40.6694134,-73.9802538
"Brokered by KORR REALTY","Co-op for sale",325000,1,1200,"3021 Avenue Z Apt 2H","Brooklyn, NY 11235","3021 Avenue Z Apt 2H, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",3021,"3021 Avenue Z #2h, Brooklyn, NY 11235, USA",40.590397,-73.935927
"Brokered by Corcoran SoHo","House for sale",6975000,2,3050,"200 Mercer St Apt 5E","New York, NY 10012","200 Mercer St Apt 5E, New York, NY 10012","New York","New York County","New York",Manhattan,200,"200 Mercer St #5e, New York, NY 10012, USA",40.7265669,-73.9967609
"Brokered by Corcoran Park Slope","House for sale",2400000,4,3424,"867 Sterling Pl","Brooklyn, NY 11216","867 Sterling Pl, Brooklyn, NY 11216","United States","New York","Kings County",Brooklyn,"Sterling Place","867 Sterling Pl, Brooklyn, NY 11216, USA",40.6727282,-73.9497962
"Brokered by Douglas Elliman  -111 Fifth Ave","Co-op for sale",3500000,4,2700,"325 W 52nd St Ph G","New York, NY 10019","325 W 52nd St Ph G, New York, NY 10019","United States","New York","New York County","New York","West 52nd Street","325 W 52nd St, New York, NY 10019, USA",40.7641121,-73.9862772
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",2975000,4,2968,"333 E 91st St Unit 12CD","New York, NY 10128","333 E 91st St Unit 12CD, New York, NY 10128","New York","New York County","New York",Manhattan,333,"333 E 91st St #12c, New York, NY 10128, USA",40.7803429,-73.947266
"Brokered by Landmark International R E Llc","Multi-family home for sale",1860000,4,2193,"149-42 17th Rd","Whitestone, NY 11357","149-42 17th Rd, Whitestone, NY 11357","United States","New York","Queens County",Queens,"17th Road","149-42 17th Rd, Whitestone, NY 11357, USA",40.7832802,-73.8149701
"Brokered by Coldwell Banker Reliable","House for sale",4000000,12,7188,"150 E 105th St","New York, NY 10029","150 E 105th St, New York, NY 10029","United States","New York","New York County","New York","East 105th Street","150 E 105th St, New York, NY 10029, USA",40.7912881,-73.9465215
"Brokered by Winzone Realty Inc","Condo for sale",1250000,2,1257,"131-01 40th Rd Unit 8G","Flushing, NY 11354","131-01 40th Rd Unit 8G, Flushing, NY 11354","New York","Queens County",Queens,Flushing,131-01,"131-01 40th Rd #8c, Flushing, NY 11354, USA",40.7561213,-73.8368085
"Brokered by Keller Williams Realty Greater Nassau","Co-op for sale",220000,1,750,"245-54 62nd Ave Unit Lower","Little Neck, NY 11362","245-54 62nd Ave Unit Lower, Little Neck, NY 11362","United States","New York","Queens County",Queens,"62nd Avenue","245-54 62nd Ave, Douglaston, NY 11362, USA",40.7554479,-73.7319604
"Brokered by RE MAX Elite","Multi-family home for sale",1179987,4,4143,"7069 Amboy Rd","Staten Island, NY 10307","7069 Amboy Rd, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Amboy Road","7069 Amboy Rd, Staten Island, NY 10307, USA",40.515005,-74.235135
"Brokered by Charles Rutenberg Realty, Inc.","Multi-family home for sale",949000,6,3733,"1040 Clay Ave","Bronx, NY 10456","1040 Clay Ave, Bronx, NY 10456","United States","New York","Bronx County","The Bronx","Clay Avenue","1040 Clay Ave, Bronx, NY 10456, USA",40.8282987,-73.91272
"Brokered by Coldwell Banker American Homes","House for sale",920000,4,2204,"468 E 46th St","Brooklyn, NY 11203","468 E 46th St, Brooklyn, NY 11203","United States","New York","Kings County",Brooklyn,"East 46th Street","468 E 46th St, Brooklyn, NY 11203, USA",40.6502862,-73.9343518
"Brokered by RE MAX Real Estate Professionals","House for sale",995000,2,800,"1809 W 3rd St","Brooklyn, NY 11223","1809 W 3rd St, Brooklyn, NY 11223","United States","New York","Kings County",Brooklyn,"West 3rd Street","1809 W 3rd St, Brooklyn, NY 11223, USA",40.603454,-73.9756682
"Brokered by Brown Harris Stevens","Co-op for sale",435000,1,2170,"110 Thompson St Apt 2E","Manhattan, NY 10012","110 Thompson St Apt 2E, Manhattan, NY 10012","New York","New York County","New York",Manhattan,110,"110 Thompson St #2a, New York, NY 10012, USA",40.7257358,-74.0017575
"Brokered by RE MAX Real Estate Professionals","House for sale",995000,2,800,"1809 W 3rd St","Brooklyn, NY 11223","1809 W 3rd St, Brooklyn, NY 11223","United States","New York","Kings County",Brooklyn,"West 3rd Street","1809 W 3rd St, Brooklyn, NY 11223, USA",40.603454,-73.9756682
"Brokered by Holly's Staten Island Buzz Realty Inc.","Condo for sale",1338000,2,2082,"90 Bay Street Lndg Apt 8G","Staten Island, NY 10301","90 Bay Street Lndg Apt 8G, Staten Island, NY 10301","New York","Richmond County","Staten Island","Mid Island",90,"90 Bay Street Landing #8g, Staten Island, NY 10301, USA",40.6403656,-74.0737574
